Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA;26408161;b3S;S4;I;2;DOURADOS;MS;03/2025;8.017.592;5.021.322;2.147.882;6.807.810;4.112.388;1.209.782;33.375;0;52
HAITONG;51482;b2;S4;C;3;SAO PAULO;SP;03/2025;7.819.582;250.763;6.034.269;7.242.404;7.042.504;577.178;13.275;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;S4;I;2;ERECHIM;RS;03/2025;7.630.732;4.743.421;2.123.330;6.779.196;4.509.713;851.536;18.872;0;71
ALELO INSTITUICAO DE PAGAMENTO SA;4740876;n4;;I;2;BARUERI;SP;03/2025;7.571.103;900.272;3.315.556;6.626.532;5.737.994;944.572;123.546;1;0
BANCO BS2 S.A.;71027866;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;7.568.630;2.388.930;1.803.233;6.699.733;6.061.492;868.897;-14.335;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;S4;I;2;CAMPO GRANDE;MS;03/2025;7.528.252;4.457.129;2.283.226;6.735.835;4.011.809;792.417;6.555;0;52
COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE  DA AMAZÔNIA LTDA - SICOOB CREDISUL;3632872;b3S;S5;I;2;VILHENA;RO;03/2025;7.459.747;5.336.287;81.117;6.135.760;4.760.918;1.323.987;56.154;0;47
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;03/2025;7.449.332;137.115;3.500.947;7.128.491;0;320.841;14.028;0;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S4;I;2;CURITIBA;PR;03/2025;7.297.300;0;2.763.556;5.542.221;8.875;1.755.080;-3;0;0
INDUSTRIAL DO BRASIL;50988;b1;S4;C;2;SAO PAULO;SP;03/2025;7.238.012;5.073.559;292.103;6.484.527;5.834.968;753.485;18.530;12;0
